更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,代表者,上場市場名
2024-08-01,株式会社日立医薬情報ソリューションズ,システムインテグレータ（SIer）,29,■事業内容：製薬業界のお客様向けにITソリューションを提供し、経営課題を解決。製薬業界の【研究開発システム】や【営業システム】を始め、【基幹システム】（品質管理・生産管理・会計管理・人事管理など）を含む製薬企業の全システムをトータルサポートしています。・情報システムの運用・保守に関するアウトソーシングの受託・情報システムに関するコンサルティング及び設計・導入と運用の受託・情報システムの開発業務の受託・コンピューターソフトウエアの製作、販売及び賃貸など,東京都千代田区神田須田町1-23-1住友不動産 神田ビル2号館,2005,43.0,300,250百万円,https://www.hitachi-pi.co.jp/,,
2024-06-01,エクシオ・システムマネジメント株式会社,ITアウトソーシング,1,ネットワークシステムのマネジメントやカスタマーセンターの運営、IT機器のリファービッシュなどICT分野におけるさまざまなシステム保守運用サービスの提供【認証規格】ISO27001（情報セキュリティ管理※東京本社のみ）プライバシーマーク（個人情報保護）【許認可等】有料職業紹介 13-ユ-305324労働者派遣 派13-305032,東京都港区三田3-5-27 住友不動産三田ツインビル西館7階,1986,,670,1億円,https://www.exeo-systemmanagement.co.jp/,代表取締役社長 深山 博文（みやま ひろふみ）,
2024-08-01,株式会社インタラクティブ・コミュニケーション・デザイン,システムインテグレータ（SIer）,5,■企業概要：同社はモバイルとインターネットに特化し、戦略・企画立案などのコンサルティングからシステム開発、政策、保守・運用に至るまでワンストップで課題を解決する「ソリューションサービス・プロバイダー」です。20年先を見据えた先見性のある企業であり、経営層が独立した97年からシステム開発とUI/UXデザインの融合した世界の未来を予測し、SEとデザイナーを融合させた企業を起ち上げました。両軸の融合により現在では他社との圧倒的な優位性となっています。,東京都港区赤坂1-12-32アークヒルズアーク森ビル17F,2000,35.0,139,54百万円,https://www.icd.co.jp,,
2024-07-01,株式会社カサレアル,システムインテグレータ（SIer）,7,■当社の特徴：東証プライム市場上場のテクマトリックス株式会社の100%子会社。プライム案件90％超の優良企業です。 カサレアルでは、DXを推進したいというお客様企業のニーズに応えて、Webアプリケーションの開発支援サービス、クラウドネイティブ技術を活用した生産性向上・品質向上のための支援サービス、実践的な先端技術研修サービスを提供しています。,東京都港区港南1-2-70,1999,37.0,90,50百万円,http://www.casareal.co.jp/,,
2024-06-01,株式会社アローズ・システムズ,システムインテグレータ（SIer）,5,■概要：web系のシステム開発とwebサイト構築に強みを持つ独立系のwebインテグレーターです。ぐるなび社や楽天社など、これまでの実績から直請でシステム開発を行っています。直受けと2次受けの比率は8:2で長期的なパートナーとしてクライアント企業の要望に応えています。。■事業内容：・Webインテグレーション事業・システムインテグレーション事業,神奈川県横浜市西区みなとみらい2-3-1クイーンズタワーA,1999,31.0,155,61百万円,"Failed to retrieve page, status code: 410",,
2024-06-01,株式会社コムエッジ,システムインテグレータ（SIer）,6,■企業概要：ソフトウェア開発という幅広い分野の中で、特に地理情報システムの開発に強みを持っております。同社設立の経営層がGIS・CADメーカ出身ということもあり、業務知識・クオリティには自信があります。,大阪府大阪市西区阿波座2-2-18,2005,34.4,37,10百万円,http://www.comedge.co.jp/,,
2024-08-01,プライムソリューションズ株式会社,システムインテグレータ（SIer）,7,■事業内容：プロジェクトマネジメント、Oracle EBSソリューション、Oracle データーベースを活用したシステム構築、エンタープライズ・システム全般の構築、Webアプリケーション開発、インターネットを活用したBtoB、BtoCシステム構築、モバイル端末向けの業務アプリケーション開発、Saleseforce導入支援・開発等を行っております。,東京都港区浜松町1-10-11浜松町OSビル6F,2005,38.0,47,30百万円,http://www.psol.co.jp,,
2024-08-01,株式会社トゥービーソフトジャパン,ベンダ（ハードウェア・ソフトウェア）,求人なし,,東京都千代田区外神田5-3-1秋葉原ＯＳビル 10Ｆ,2005,,,10 百万円,"Failed to retrieve page, status code: 410",代表取締役 崔 收華,
2024-08-01,株式会社フルマークス,システムインテグレータ（SIer）,4,■事業内容：システムの構築・クライアントサイドに立ったソリューションの提供／戦略からインテグレーションまでを支援するコンサルティング・既存システムの最適化・新規システムの構築提案、構築支援／各分野の専門技術スタッフの派遣,東京都千代田区神田神保町1-14-3,2005,32.8,27,30百万円,https://www.fullmarks.co.jp/,,
2024-07-01,株式会社センティリオンシステム,システムインテグレータ（SIer）,5,■事業内容：ソフトウェア開発、インターネットサービスプロバイダ、サーバホスティング、ネットワーク・サーバの運用、ハードウェアの輸入販売、ECサイトの運営,東京都品川区東五反田1-13-12いちご五反田ビル 9F,2005,36.0,40,25百万円,http://www.centsys.jp/,,
2024-07-01,株式会社アイテック,システムインテグレータ（SIer）,3,■事業概要教育事業本部：情報処理技術者試験対策を中心としたIT教育サービスの提供・通信教育事業・書籍の出版、販売事業・企業向け社員研修事業人材事業本部：企業へのITエンジニア派遣・ITエンジニアの派遣事業,東京都港区西新橋1-18-6クロスオフィス内幸町6F,2005,45.0,150,80百万円,https://www.itec.jp,,
2024-08-01,ＳＴＳＤ株式会社,システムインテグレータ（SIer）,1,■事業内容：企業向けCMSパッケージ「writeWired」を開発／運営しております。「writeWired」とは、コンテンツ管理、メール配信、WEBマーケティングに必要不可欠な高度なユーザー行動履歴分析など、あらゆる機能を統合したマーケティングプラットフォームです。効率的なWEBサイトの運営を助けるだけでなく、日々変化するWEBマーケティングへのニーズに柔軟に答えることができるのが同社「writeWired」の特徴です。,東京都渋谷区東2-24-6サワトビル5F,2005,30.0,2,10百万円,"Failed to retrieve page, status code: 410",,
2024-06-01,コンポーネントデザイン株式会社,システムインテグレータ（SIer）,1,■事業内容： ・受託システム開発・自社開発プロダクト、サービス運営※技術者派遣や客先常駐の業務は行っていません。■当社について：・当社は高品質なアプリやシステム開発サービスを適正価格かつ丁寧な対応で提供しています。・エンジニア派遣に類する業務を行っていません。開発チームは社内にいるためアプリやシステムの運用開始後も開発を担当したチームが対応しやすい体制です。・黒字かつ実質無借金経営です。多数のエンドユーザー企業と継続的に取引しており、特定の取引先への依存はありません。,東京都千代田区岩本町3-2-10,2005,,,20百万円,https://www.cmpd.jp/,,
2024-07-01,株式会社ビー・エス・エス,システムインテグレータ（SIer）,8,1992年の設立時より30年にわたり、三井物産グループのITコンサルティング会社として、三井物産グループ各社に対して、以下のITサービスを展開しています。【具体例】アプリケーションシステムの導入支援／ITインフラの導入支援／業務分析、改善提案／システムの開発・保守・運用／グループ各社の社内IT業務受託【主な取引先】三井物産、および三井物産グループ関係会社,東京都渋谷区渋谷2-2-10青山H&Aビル2F,1992,48.0,29,10百万円,http://bss-coltd.co.jp/,,
2024-07-01,株式会社トーク,システムインテグレータ（SIer）,2,■事業内容：あらゆるシーンにおいて、顧客のニーズに添った「トータルシステムソリューション」を提案します。,広島県広島市中区大手町3-8-1大手町中央ビル11F,1997,,36,34百万円,http://www.tohk.co.jp/,,
2024-06-01,株式会社フェイスポート,システムインテグレータ（SIer）,6,■概要：業務系システムやスマホ向けアプリの開発を行っています。大手上場企業の案件を直請けにて多数開発しております。,兵庫県神戸市中央区江戸町100高砂ビル5F,2005,30.0,20,10百万円,https://www.feissport.com/,,
2024-06-01,株式会社サンテクノス,システムインテグレータ（SIer）,1,■SI事業■SES事業■教育事業■DX事業■ホームページ・ECサイト制作,福岡県福岡市博多区博多駅東二丁目2-2 博多東ハニービル4F,2003,,40,,https://www.santechnos.com/index.html,代表取締役 林田 茂宏,
2024-06-01,株式会社ＷＲＩソリューション,システムインテグレータ（SIer）,1,■事業内容： 基盤・運用ソリューション設計・構築IT運用コンサルテーションサービスアプリケーション開発,東京都江東区木場2-5-7KHビル9F,2005,32.0,20,25百万円,http://www.wrisolution.co.jp/,,
2024-07-01,株式会社シティクラフト,システムインテグレータ（SIer）,3,■事業内容：システムアーキテクチャ設計や、フレームワーク開発、開発標準策定等の開発基盤構築といったコア分野を専門に担うシステムインテグレーターです。,愛知県名古屋市中区錦2-19-18,2005,36.0,24,10百万円,http://www.city-craft.co.jp/,,
2024-08-01,株式会社アール・エス・アール,ITアウトソーシング,6,■事業内容： ・ITエンジニア教育・派遣事業・ソリューション事業・Webアプリケーション開発・ECサイトの開発・運用保守,広島県広島市中区大手町2-7-7小松ビル,2001,,41,10百万円,"Failed to retrieve page, status code: 410",,
