更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,有限会社エース薬局,調剤薬局・ドラッグストア業界,求人なし,千葉県八街市八街い211-3,1994,代表取締役 砂田 友宏,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社並木薬局,調剤薬局・ドラッグストア業界,求人なし,千葉県山武市津辺132-1,1951,代表取締役 並木 佳久,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社キシモト薬局,調剤薬局・ドラッグストア業界,求人なし,千葉県山武市津辺225-1,1993,代表取締役 野嶋 剛,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社セブンワーカーズ,その他医療関連,求人なし,千葉県匝瑳市飯倉台10-20やまとビル 1Ｆ,1983,代表取締役 金沢 惠俊,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社マヤ薬局,調剤薬局・ドラッグストア業界,求人なし,千葉県市原市辰巳台西1-5-4,1991,代表取締役 安部 翔,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社やさしい手京葉,その他医療関連,求人なし,千葉県市原市能満2-10,2002,代表取締役 畑井 耕次,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社青山ケアサポート,福祉・介護関連サービス,求人なし,大阪府大阪市中央区安土町1-8-15野村不動産大阪ビル 12Ｆ,2002,代表取締役 岡田 宗修,41 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社ウエヤマ歯材,医療機器卸,求人なし,大阪府泉南市樽井1-14-40,1994,代表取締役 上山 剛司,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社セラ・メディック,調剤薬局・ドラッグストア業界,求人なし,大阪府堺市堺区市之町西3-2-14和合ビル 5Ｆ,1991,代表取締役 西村公志,31 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社テールアイランド,調剤薬局・ドラッグストア業界,求人なし,大阪府大阪狭山市池尻自由丘1-14-24,1994,代表取締役 尾島 純子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ワハ,その他医療関連,無,大阪府泉佐野市高松南1-2-43,1991,代表取締役 山口 薫,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社関西環境センター,その他医療関連,求人なし,大阪府堺市中区小阪204-27,1999,代表取締役 山里 真二,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,一般社団法人京都市老人クラブ連合会,福祉・介護関連サービス,求人なし,京都府京都市下京区西木屋町通上ノ口上る梅湊町83-1,1976,代表理事 西村 忠雄,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,一般社団法人京都府保育協会,福祉・介護関連サービス,求人なし,京都府京都市中京区竹屋町通烏丸東入清水町375京都府立総合社会福祉会館,1980,代表理事 楠 文範,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,公益社団法人京都市身体障害児者父母の会連合会,福祉・介護関連サービス,求人なし,京都府京都市右京区西京極葛野町2,1994,代表理事 岡 千栄子,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,一般財団法人京都予防医学センター,病院・大学病院・クリニック,求人なし,京都府京都市中京区西ノ京左馬寮町28,1952,代表理事 森 洋一,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,医療法人いたの会,病院・大学病院・クリニック,求人なし,福岡県久留米市小森野2-3-8,1994,理事長 板野 哲,35 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ミストラルサービス,福祉・介護関連サービス,求人なし,大阪府大阪市北区芝田2-8-11共栄ビル 206,1998,代表取締役 渡辺 哲也,73 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
