更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,従業員数,資本金,平均年齢,企業URL,代表者
2024-07-01,インフォテック・ホールディングス株式会社,その他,1,■事業内容： 持株会社として傘下子会社の経営管理およびそれに付随する業務,東京都新宿区西新宿3-7-1新宿パークタワー,,,,,,なし,
2024-05-01,千代田テック株式会社,その他,1,■事業内容：千代田テックは静岡県内を中心として、製薬会社・ケミカル会社をメインとした空調設備のトータルメンテナンスを行っています。,静岡県静岡市駿河区中島325-1,2003,,8,10百万円,45.0,http://chiyoda-tech.com/,
2024-07-01,医療法人社団恵風会,特殊法人・財団法人・その他団体・連合会,3,■事業内容：老人保健施設の運営■サービスの特徴：（1）長期入所（ロングステイ）…入院、治療の必要がなく病状が安定期にあり、医療、介護、リハビリテーションを必要とする方々を対象に、自宅へ帰ることを目指します。また、歯科医、歯科衛生士による口腔ケアを定期的に行っています。（2）短期（ショートステイ）…家族の病気や冠婚葬祭、旅行など一時的に介護が困難になった場合、介護されている方家族の休息など短期間預かるサービスです。リハビリテーションを必要とする方には特に個別での対応を行っています。 他,山梨県上野原市上野原7806,,,,,,https://www.keifuu.or.jp/,
2024-07-01,株式会社Ｃｏｓｍｏ　Ｊａｐａｎ,その他,4,■事業内容： 中古車の輸出・卸,兵庫県神戸市東灘区本山南町8-6-26,2011,,50,10百万円,33.0,https://www.cosmo-jpn.jp/,
2024-08-01,独立行政法人情報処理推進機構,特殊法人・財団法人・その他団体・連合会,4,■概要：安全で信頼できるデジタル社会の実現という公的使命のもと、IT推進による産業強化や情報セキュリティ向上など様々な国のIT政策実施の要となる公的機関です。■事業内容（事業の一部をご紹介）：（1）情報セキュリティ対策…【対策支援と普及啓発】【人材育成】（2）IT人材育成…【人材発掘・育成】【国家試験】（3）DXの促進…【調査・分析・基盤構築】【地域支援】（4）アーキテクチャの設計・社会実装,東京都文京区本駒込2-28-8文京グリーンコートセンターオフィス13F,2004,,543,199百万円,,https://www.ipa.go.jp/,
2024-07-01,株式会社ＥＩＣ,その他,2,■事業内容：（1）メディカルフード事業（2）整骨鍼灸事業（3）自動車教習事業（4）不動産事業,兵庫県神戸市須磨区車字仏坂811-1,2003,,200,10百万円,,https://company.eic-kyusyoku.com/,
2024-07-01,有限会社アールシーコンサルタント,その他,1,当社はプラスチックやビニール・古紙・鉄・非鉄金属スクラップなどのリサイクル、一般廃棄物の収集運搬・処理を行う会社です。2004年3月、現代表の父が経営する摂津商事（株）（リサイクル事業を運営）から、プラスチック部門が独立し、設立に至りました。■事業概要：・各種プラスチック・ビニール廃棄物・製紙原料用古紙（新聞・雑誌・ダンボール等）・鉄・非鉄金属スクラップ・機械類のリサイクル └ 三重県伊賀市を中心に中勢・北勢方面、そして奈良・大阪へと営業エリアを拡大しております。・一般廃棄物の収集運搬・処理,三重県伊賀市白樫字下田2133‐3,2004,,19,10百万円,38.0,https://www.rc-c.co.jp/,
2024-07-01,中部エコテクノロジー株式会社,その他,3,■事業内容：使用済み家電品の再商品化（取扱品目…エアコン、テレビ、冷蔵庫、洗濯機）,三重県四日市市川尻町1000,2004,,134,300百万円,49.0,http://www.cetec.co.jp/,
2024-07-01,社会福祉法人仁川会,特殊法人・財団法人・その他団体・連合会,2,■事業内容・保育事業：認定こども園、保育園、企業主導型保育施設の運営・障がい者入所支援施設「慈雍厚生園」の運営・学童保育子育て支援センター運営・多機能型事業所「かたくり」「グループホームゆず」の運営,茨城県常陸大宮市野口1294,1976,,115,,35.0,https://www.jinsenkai.org/,
2024-07-01,社会福祉法人森友会,特殊法人・財団法人・その他団体・連合会,1,■事業内容： 幼保連携型認定こども園及び保育所の経営、一時預かり事業,大分県大分市顕徳町2-2-41,2001,,514,,,https://sinyukai.com/,
2024-06-01,社会福祉法人光福祉会,特殊法人・財団法人・その他団体・連合会,2,■企業概要千葉県旭市で1950年から保育園を運営しており、2024年には子育て支援事業として子育て支援センターも開設■事業内容保育園「私立ひかり保育園」子育て支援センター「のびのびひろば」の運営そのほか、延長保育、障害児保育、一時保育など■事業の特徴いきいきとした子どもをめざしてひかり保育園は、生き生きとみずみずしい生命力に満ちた子どもたちが活き活きと成成する様子をあたたかく見守ります。,千葉県旭市飯岡2115-2,1950,,20,5百万円,36.0,https://asahihikari.xsrv.jp/,
2024-08-01,一般財団法人直鞍情報・産業振興協会,特殊法人・財団法人・その他団体・連合会,1,■事業内容： ・EMCサイトの管理・電波暗室及びEMC試験設備の開放利用および計測補助・EMC計測・試験の受託業務・EMC試験レポート発行業務・EMC人材育成講習会、その他セミナーの開催、セミナーの開催等・インキュベート室,福岡県直方市大字植木1245-2,2004,,9,,,https://adox-fukuoka.jp/,
2024-08-01,株式会社Newbees,その他,8,■事業内容：各種ソフトウェア設計・開発・コンサルティング自社パッケージ商品の開発・販売各種コンピュータ／ネットワークのSI事業,東京都新宿区新宿5-5-3建成新宿ビル5F,2000,,61,10百万円,33.0,https://newbees.jp/,
2024-08-01,原子力発電環境整備機構,特殊法人・財団法人・その他団体・連合会,2,■事業内容：特定放射性廃棄物に関する次の事項（1）概要調査地区等の選定（2）処分施設の建設、改良、維持等（3）地層処分の実施（4）処分施設の閉鎖及び閉鎖後管理（5）付随する技術開発等※特定放射性廃棄物…高レベル放射性廃棄物及び地層処分相当低レベル放射性廃棄物（TRU廃棄物）,東京都港区芝4-1-23三田NNビル2F,2000,,203,,,https://www.numo.or.jp/,
2024-06-01,公益財団法人福武財団,特殊法人・財団法人・その他団体・連合会,2,■事業内容： 公益財団法人 福武財団（旧財団法人 直島福武美術館財団）は、2004年、地中美術館の開館に伴い設立しました。2012年10月からは助成事業を担う他2つの財団を統合し、直島・豊島・犬島を中心とした美術館事業、日本各地における文化・芸術による地域振興活動への助成事業、瀬戸内国際芸術祭などの支援を行う自主・共催事業の3つの事業を柱としてアート活動を行っています。アート活動を通じて、一人ひとりが「Benesse＝よく生きる」を考え、お年寄りの笑顔のあふれる、よりよい地域をつくることを目指しています。,香川県香川郡直島町2249-7,2004,,137,,,https://fukutake-foundation.jp/,
2024-08-01,株式会社ユーシステム,その他,6,■事業内容■・システム受託開発・ホームページ制作・ＩＴ活用支援・技術者派遣■事業の特徴■ホームページ制作： http://www.web-balloon.com/システム開発： http://www.sys-sec.jp/,兵庫県神戸市中央区御幸通4-2-15三宮米本ビル4F,2002,,20,10百万円,,https://usystem.jp,
2024-08-01,ビズキューブ・コンサルティング株式会社,その他,12,■事業内容企業価値の向上を実現するコンサルティングファームとして、様々なコンサルティングサービスを展開しております。創業事業である賃料適正化コンサルティング以外にも、契約書管理のクラウド化サービスや物件管理の窓口業務アウトソーシングなどを展開。また、グループ会社やパートナー提携により店舗施工、人材育成、海外進出支援、集客・送客や業務効率化など、ありとあらゆる経営課題に実利のある貢献をしています。,大阪府大阪市中央区久太郎町3-3-9ORIX久太郎町ビル10F,2001,,103,83百万円,41.0,http://www.bizcube.co.jp/,
2024-07-01,エルテックサービス株式会社,その他,1,産業廃棄物中間処理業一般廃棄物中間処理業,山梨県笛吹市一宮町国分1014番地1,2002,,,,,https://www.ertec-g.co.jp/index.html,代表取締役 中村 吉邦
2024-07-01,第一三共ビジネスアソシエ株式会社,その他,2,■事業内容：・第一三共国内グループ会社の人事、経理、総務、ファシリティ、営業関連事務業務及び購買業務の受託・不動産賃貸、管理・保険代理業,東京都中央区日本橋本町3-5-1本社ビルB館,2006,,221,50百万円,47.0,https://www.daiichisankyo-ba.co.jp/,
2024-07-01,有限会社ウエハラエンジニアリング,その他,1,■事業内容：機械装置製造業■同社について：当社は、前社の株式会社上原製作所の基盤を引き継いで、平成13年より香南町にて創業いたしました。小さな会社ではありますが、長年培ってきた知識を高度な技術力を持ち、主に関西圏の大手企業様より産業用省力化機械や溶接ロボット装置及び周辺設備の開発設計・製作などの注文を受けています。,香川県高松市香南町池内1150-1,,,6,3百万円,,なし,
2024-07-01,矢崎ビジネスサポート株式会社,その他,1,■事業内容：矢崎総業（株）財務室経理部門、総務人事室総務部門の定型業務の請負業務を受託。■特徴：矢崎総業（株）間接部門をアウトソーシングした会社。平成17年４月に障害者の特例子会社として認定されました。,静岡県裾野市御宿1500,,,54,10百万円,,なし,
2024-05-01,株式会社Ｅａｒｔｈ　Ｔｏｐ　Ｈｏｌｄｉｎｇｓ,その他,2,■事業内容： ・決済代行ビジネスクレジットカード・電子マネー等豊富な決済方法提供・アロマ空間デザインビジネスアロマの香りを活用し、商業空間を魅力的な香りに彩るデザインサービスを提供・石材ビジネス団塊世代をターゲットに墓石・区画”生前”販売、地方主要都市へ積極展開、各地LLCへの出資と業務管理でサポート・投融資ビジネス国内外の飲食事業など投資・融資によりベンチャー企業を育成・サポート、世界屈指の海外金融機関組成ファンドへの投資,東京都渋谷区渋谷1-17-4,2006,,24,39百万円,44.0,https://www.earthtop-hd.co.jp/,
2024-06-01,特定非営利活動法人グッドネーバーズ・ジャパン,特殊法人・財団法人・その他団体・連合会,1,■認定NPO法人グッドネーバーズ・ジャパン（Good Neighbors Japan :GNJP）は、国際組織であるグッドネーバーズ・インターナショナルの一員で、海外と国内で子ども達のこころと身体を守る国際NGOです。,東京都大田区西蒲田7-60-1 ソメノビル7階,2004,,,,,https://www.gnjp.org/,代表理事 小泉 智
2024-06-01,特定非営利活動法人医療教育研究所,特殊法人・財団法人・その他団体・連合会,1,■事業内容： 医療教育研究所は、薬剤師の生涯研修の一環として現場に役立つ最新の医療情報を提供していくことを目的に設立されました。社会的使命を達成することを目的としているため、NPO法人として運営しています。また、医療教育研究所は日本薬剤師研修センターより研修実施機関として認証されているため、研修認定薬剤師の資格を取得することができます。,東京都千代田区飯田橋2-1-5S-Glanz KUDAN BLD.8F,2003,,27,,,https://www.ime.or.jp/,
2024-05-01,株式会社JEPLAN,その他,1,「あらゆるものを循環させる」JEPLANは、そんな純粋な想いからつくられた会社です。服に限らず、役割を終えたあらゆる「服」や「もの」を循環させることで、これまで私たちが依存してきた石油に代表される地下資源や、製造の過程で消費されるエネルギーの量も削減し、CO2などの温室効果ガスの排出量を減らすことにもつながります。今、世界が取組はじめている「サステナブルな社会の実現」という課題への、答えの一つとなるといえます。未来を担う子どもたちが安心して暮らせる社会を、社会全体が手を取り合いあらゆるものを循環させる社会を、そんなワクワクする世界を目指しています。,神奈川県川崎市川崎区扇町12-2,2007,,,,,http://www.jeplan.co.jp,
2024-07-01,株式会社Ｌ＆Ｆ,その他,2,☆☆ 上場企業より資金調達完了 ITを活用した今までにないサービスで不動産業界に変革をもたらします ☆☆■事業内容： ・空き家管理の全国ネットワーク 「日本空き家サポート」運営事業・家族信託を不動産業界から広める日本初のプラットフォーム「家族信託の相談窓口」・賃貸管理会社向けオーナーWEBアプリ「オーナーズクラウド」運営事業,千葉県千葉市美浜区中瀬2-6-1ワールドビジネスガーデン マリブウエスト26F,2007,,10,35百万円,,https://www.l-f.co.jp,
2024-08-01,株式会社原田武夫国際戦略情報研究所,その他,4,■事業内容：国内外情勢に関する調査研究及び教育活動並びに経営コンサルティング業,東京都千代田区丸の内2-3-2郵船ビルディング3F,2007,,30,3百万円,35.0,http://haradatakeo.com/,
2024-07-01,株式会社生産者直売のれん会,その他,3,■事業概要：食品製造業支援業を行っています。,東京都台東区雷門1-2-5,2007,,70,100百万円,,https://www.noren-kai.com/,
2024-08-01,PwCアウトソーシングサービス合同会社,その他,2,■事業内容：PwC税理士法人や専門家と連携し、広範囲にわたるアウトソーシングサービスを提供している会社です。,東京都千代田区大手町1-2-1,1999,,50,300百万円,,https://www.pwc.com/jp/ja/about-us/member/tax/outsourcing.html,
2024-07-01,株式会社EQA国際認証センター,その他,2,■ISO（国際標準化機構）規格に基づいた適合性審査および認証登録業務,東京都新宿区新宿1-9-3 NBKビル6F,2001,,14,"1,000万円",,https://www.eqaicc.co.jp/,CEO Jason Moon Ph.D.
2024-07-01,一般財団法人大阪スポーツみどり財団,特殊法人・財団法人・その他団体・連合会,1,【 公共施設を”スポーツ”や”みどり”で盛り上げる 】■スポーツの普及振興及び競技団体との連携並びにスポーツ施設の管理運営に関する事業■みどりの普及啓発及び公園施設の管理運営に関する事業■その他、この法人の目的を達成するために必要な事業,大阪府大阪市港区田中3-1-40 ※Asue アリーナ大阪内（※大阪市中央体育館の愛称）,1964,,,-,,https://www.osgf.or.jp/recruit/,理事長 山本 功人
2024-06-01,株式会社ディーディーエル,その他,2,■事業内容：（1）ハードエンジニア業務（2）ソフトエンジニア業務,北海道札幌市北区北七条西6-2-34SKビル,2005,,19,35百万円,,http://www.ddl.co.jp/,
2024-05-01,株式会社ユーリンクス,その他,1,■企業概要： ・「江頭2:50」のCMでおなじみの車買取専門店「アラジン」として中古車の買取、販売等を中心に事業展開しています。■事業詳細：・車買取・販売・車検・板金・修理・カーリース■特徴：・2000年の設立以降、車買取専門店「アラジン」の自社店舗を急増させている成長企業であり、若手社員が活躍しています。■アラジン店舗一覧（直営店）：・福岡県…マリナ通り店、野間大池通り店、二又瀬店、福岡原店、春日店、新宮店、小倉南店、八幡穴生店、飯塚店、糸島店、古賀店、行橋店、みやま柳川店、那珂川店、佐賀県…佐賀大町江北店、熊本県…熊本新屋敷店、山口県…宇部店,福岡県福岡市西区小戸3-54-39,,,70,,,なし,
2024-07-01,株式会社フレンズ,その他,2,■事業内容：・車のメカ製作/交換・中古車販売■会社概要：・株式会社フレンズ(FRIENDS)は、エンジン製作/セッティング/タービン交換/ブーストアップ/ワンオフ製作/足回り/LSDの各種サービスで、お客様の車をよりハードに仕上げることを目標にご提案させて頂いております。フレンズには熟練メカニックがおり、蓄積した経験とスキルでお客様のご期待にお応えいたします。,栃木県下都賀郡野木町大字友沼6602-4,2000,,8,40百万円,,http://friends-power.com/,
2024-08-01,AXLBIT株式会社,その他,6,■事業内容：・コンサルテーション…日々新しい技術が生まれて行く中で、最適なIT投資を行う事は、ビジネスを成長させる上で最も重要な要素となっています。・システム開発…同社は、サーバ、ストレージ、ネットワークなどのインフラストラクチャーだけではなく、Web技術を中心としたソフトウェアエンジニアリングもトータルで提案しています。設計構築から運用までワンストップで行っています。・クラウドサービス…IT投資をより効率的に。クラウドは、IT投資を作ることから使う事に変化させています。,東京都港区白金1-27-6,2008,,35,99百万円,33.0,http://axlbit.com/,
2024-07-01,平成レンタカー株式会社,その他,4,【経営理念】お客さまの心を動かすサービスの提供【平成フィロソフィー】1.かかわる力人、モノ、コトと積極的にかかわろう。2.感じ取る力鋭く、繊細に、機微をとらえて。3.想像する力相手の立場に立って思いを巡らせよう。4.考える力既存の枠を取っ払って自由に考えよう。5.表現する力やさしく、たのしく、おもしろく！,岡山県倉敷市児島駅前4-1,1992,,,10百万円,,https://www.heisei-car.jp/company/index.html,
2024-08-01,株式会社ジャパンバイクオークション,その他,1,二輪車（バイク）オークションの主催,神奈川県横浜市鶴見区大黒町9-17-2（JBA横浜・本社）〒650-0045兵庫県神戸市中央区港島1-4-6（JBA神戸）,2006,,63,2億1280万円,32.0,http://www.j-ba.co.jp/index.php,代表取締役 金島 雅哉
