更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,平均年齢,従業員数,資本金,企業URL,代表者
2024-08-01,株式会社アートネイチャー,理容・美容・エステ,23,■事業内容：各種毛髪製品の製造及び販売／育毛、増毛サービスの提供／ヘアケア商品の販売,東京都渋谷区代々木3-40-7,1967,スタンダード市場,42.0,3930,"3,667百万円",http://www.artnature.co.jp/index.html,
2024-08-01,キュービーネット株式会社,理容・美容・エステ,6,■事業内容国内でのヘアカット事業,東京都渋谷区神泉町8-16,2014,プライム市場,,2173,10百万円,https://www.qbnet.jp/,
2024-08-01,株式会社シーボン,理容・美容・エステ,49,■事業内容：化粧品及び医薬部外品並びに美容器具等の製造販売及び輸出入事業を行っています。,東京都港区六本木7-18-12,1966,スタンダード市場,39.5,689,483百万円,http://www.cbon.co.jp/index.html,
2024-08-01,株式会社ビューティガレージ,日用品・雑貨 （商社）,7,■インターネットを利用した通信販売業■インターネットを利用した情報提供サービス■理美容／エステ用品・機器・化粧品の卸販売■サロン店舗設計デザイン・施工■サロンIT化・システム導入支援サービス■クレジットカード決済端末の導入サポート■セミナー・スクールによる人材育成サービス■サロン集客支援サービス■サロン向け保険サービス,東京都世田谷区桜新町1-34-25,2003,プライム市場,36.0,545,7億6838万5250円,http://www.beautygarage.co.jp/,代表取締役CEO兼COO 野村 秀輝
2024-07-01,株式会社AB＆Company,理容・美容・エステ,1,■事業内容：【3つの事業を子会社として展開】・美容室を経営、運営するビューティーサロン事業…Agu.ブランド美容室の展開・フランチャイズチェーンの本部機能としてのFC事業・美容室の内装、施工などを担当するインテリアデザイン事業,東京都新宿区新宿2-16-6新宿イーストスクエアビル6F,2018,グロース市場,43.0,18,194百万円,https://ab-company.co.jp/,
2024-05-01,株式会社オーニシ,理容・美容・エステ,1,■事業内容：・美容業務用品、美容器具一式の販売・サロン開業、リニュアルの相談、宣伝企画・市場調査および物件情報の提供・美容技術セミナーや経営セミナーの開催当社は昭和21年に創業して以来、サロンのためにできることを常に考え、美容師と共に歩んできました。美しいスタイルを生む技術者への尊敬をもとに、美容材料を通してサロンワークをお手伝いをしています。当社は大手総合美容商社「ガモウグループ」の一員として、中国四国エリアのサロンビジネスの発展にこれからも貢献してまいります。,岡山県岡山市北区清輝本町8-13,1960,,,25,42百万円,https://024gamo.co.jp,
2024-06-01,学校法人ハリウッド美容専門学園＜ハリウッドワールド美容専門学校（ハリビ）＞,理容・美容・エステ,1,■美容専門学校・ブライダルサロン・ビューティーサロンの経営,福岡県柳川市三橋町柳河55-1,1957,,,60,,http://www.hbc.ac.jp/,理事長 古賀 英次
2024-07-01,株式会社デイバイデイ,理容・美容・エステ,2,■事業内容について： 国内28店舗、海外7店舗に美容室を展開しています。,千葉県千葉市中央区新田町35-1,1979,,,260,50百万円,https://daybyday.co.jp/,
2024-07-01,株式会社ザ・フォウルビ,理容・美容・エステ,1,【事業内容】 当社は、エステティック、コスメティックを主体とする美と健康の創造産業として、全国にエステティックサロン「ジェイエステティック」を約100店舗展開しています。,栃木県宇都宮市江曽島本町12-6,1979,,,1200,41百万円,https://www.j-esthe.com,
2024-08-01,株式会社ソシエ・ワールド,その他,無,国内・海外の美容サロンの経営関連商品の販売およびそれに附帯する一切の業務オリジナル商品（コスメなど）の製造国内：エステティックサロン（58店※うちネイル併設サロン17店・ホテルスパ2店）ヘアーサロン（32店）アイビューティサロン（15店）スポーツスタジオ（1店）台湾：エステティック（20店）スパ（3店）ヘアーサロン（3店）アイビューティサロン（1店）フランス：ヘアーサロン（1店） 2024年6月doda掲載求人より引用,東京都渋谷区代々木4-33-10トーシンビル 3Ｆ,1971,,,,50 百万円,"Failed to retrieve page, status code: 410",代表取締役 黛 照男
2024-07-01,ＴＢＣグループ株式会社,理容・美容・エステ,2,■事業内容：1.エステティック業女性専用サロン「エステティックTBC」・男性専用サロン「MEN'S TBC」などのエステティックサロンを、全都道府県に約200店舗、直営展開しています。2.化粧品・エステ関連商品の研究開発および販売サロンで使用する粧材や美容機器、またお客様に販売する化粧品・健康食品・美容関連商品は、ほぼすべてが自社研究所で開発されたTBCのオリジナル商品です。,東京都新宿区西新宿1-25-1新宿センタービル43F,1976,,28.0,2300,780百万円,http://www.tbc.co.jp,
2024-07-01,株式会社プロピア,理容・美容・エステ,6,■事業内容：毛髪商品の開発および製造、販売やサービス提供を行っています。■取扱製品・サービスの特徴：髪に関するお悩みを解決するためのサービスや製品を幅広く取り扱っています。,東京都新宿区西新宿7-4-3,1984,,42.0,75,100百万円,https://propia.co.jp/,
2024-07-01,株式会社スリムビューティハウス,理容・美容・エステ,4,■事業内容： エステティックサロン（ボディ、フェイシャル）の経営、オリジナルブランド化粧品、健康食品の会員販売,東京都港区新橋6-4-9,1987,,,500,50百万円,https://slim.co.jp/,
2024-06-01,有限会社フユヒロコーポレーション,理容・美容・エステ,1,■事業内容：・美容室専売品の卸、販売・美容室における総合的なコンサルティング業務【ミルボン･ルベル・資生堂・ホーユー等の各有名メーカーの正規代理店】,京都府京都市東山区大和大路通四条下る三丁目博多町81-1,,,28.0,80,10百万円,http://www.fuyuhiro.co.jp/,
2024-08-01,株式会社フォルテ,理容・美容・エステ,3,■事業内容：（1）サロン事業部…サロン70店舗を運営しています。（2）トータルビューティー事業部…アイラッシュ、ピラティス、エステ、ネイルなどの事業展開をしています。（3）海外事業部…HAWAIでの事業展開を行っています。（4）メビウス事業部…自社オリジナルブランドの展開をしています。（5）プロダクト事業部…書籍出版・DVD販売・各種セミナー・講演などを行っています。（6）メディア事業部…TV出演・企画やタレントアナウンサーのヘアメイクを行っています。（7）ブライダル事業部…ブライダル年間400組のプロデュースをしています。,静岡県静岡市葵区伝馬町9-4一瀬センタービル8F,1986,,26.0,350,10百万円,https://www.forte-group.jp/,
2024-07-01,株式会社ムーランエムーラン,理容・美容・エステ,2,＜企業概要＞■事業内容：業務用美容関係商品の製造販売及び美容室経営総合サポート■事業内容詳細：当社は美容室向けにヘアカラー剤、パーマ剤、ヘアケア商品等の商材を製造、販売する美容商材メーカーです。2003年から、それまでに培ってきた化粧品製造と美容室経営の経験をもとに、いち早く美容室業界にオンライン通販システムを導入し、全国の美容室に高品質、低価格の業務用商材を提供する業界他社に無いビジネスモデルを構築致しました。美容室が「末永く経営を続けられる環境づくり」を目標に、美容業界で働くすべての方の幸せのために、「美容師が夢を持って働ける美容室づくり」の実現を目指しています。,愛知県名古屋市中村区椿町16-8,2003,,37.7,34,100百万円,https://m-moulin.jp/,
2024-08-01,テクノネット株式会社,理容・美容・エステ,1,■フィットネス・エステ・リラクゼーションを併設した複合型のスポーツジム運営■危険物貯蔵タンクの点検・検査■危険物貯蔵タンク施設新設工事・解体工事・配管工事■地下タンク及び配管総合漏洩検査■タンクリペアライニング工事■タンク清掃■土地有効活用提案■配管工事■土壌環境調査・土壌汚染改善工事・バイオ製材土壌改良■バイオ製剤浄化工事■解体工事,愛知県名古屋市守山区向台3-507,2004,,,,1000万円,https://www.techno-nets.co.jp/,代表取締役 石野田 賢次
2024-08-01,株式会社スプレッド,理容・美容・エステ,9,■企業概要： まつ毛エクステを運営する会社です。平成18年の創業より着実に実績を積み重ね現在では19店舗を展開するまでに成長しました。■事業詳細：・まつ毛エクステ専門店「DollyLash（ドーリー ラッシュ）」を運営しています。・イオンやゆめタウンなどの大型商業施設へ出店しています。,福岡県福岡市中央区舞鶴2-1-10天神フロントスクエア6F,2006,,,70,5百万円,https://www.dollylash.co.jp/,
2024-08-01,株式会社ＣＬＥＡ,理容・美容・エステ,2,■事業内容： ・エステティックサロン運営事業・エステティックサロンプロデュース事業・エステティックアカデミー事業,東京都港区南青山3-17-15,2007,,27.2,90,10百万円,"Failed to retrieve page, status code: 410",
2024-08-01,株式会社ｍｉｒｒｏｒ　ｂａｌｌ,理容・美容・エステ,1,■企業概要：「もっと新しい美容の価値を、お客様とスタッフに」をコンセプトに首都圏をはじめ大阪、仙台、福岡等全国に美容室、ヘアサロンを展開しています。2008年に低価格の業務委託サロンからスタートし、中単価のサロンや特徴的なコンセプトサロンを出店してきました。スタッフ達が価格に関わらずお客様を喜ばせ続けてくれた点を自負しており、素晴らしいスタッフ達が作ってくれたこの風土が現在の当社の基礎を作っています。,東京都中央区銀座2-6-16,2008,,29.8,185,"1,615百万円",http://www.co-mirrorball.com/,
2024-06-01,有限会社サラジュ,理容・美容・エステ,1,■事業内容： 自然で再現性の高いSARAJUのカットのこだわりSARAJUのカットは、お客様の「生え癖」「骨格」「髪質」を見極め、お手入れしやすく再現性の高いカットを心がけています。より美しく、よりダメージレスを目指してSARAJUでは、ヘアカラー塗布のハケ使い、クシの通し具合が髪や頭皮への負担にならないよう配慮し、スタッフ全員で取り組み提供させていただきます。,兵庫県宝塚市伊孑志3-8-20,2000,,,,3百万円,https://www.saraju.com/,
2024-06-01,株式会社バイオテクノロジービューティー,理容・美容・エステ,1,◆全国22店舗のエステティックサロン経営◆アプリケーションソフトウェアの企画、設計、開発、販売、保守管理及びそれらのコンサルタント業◆営業代行及び営業に関するコンサルタント業,東京都港区南青山5-10-19青山真洋ビル8F,2006,,,,300万円,https://www.btb.co.jp/salonlist/,代表取締役 坂井 万知子
2024-07-01,株式会社ハクブン,理容・美容・エステ,1,■事業内容：（1）理美容室チェーンの管理・運営（2）理美容材料・商品の仕入販売・開発（3）自社理美容室の設計・施工・メンテナンス（4）店舗施工資材・設備の開発・輸入,神奈川県横浜市青葉区新石川3-15-11,1986,,43.0,3548,10百万円,"Failed to retrieve page, status code: 410",
2024-08-01,株式会社美源堂,理容・美容・エステ,1,■事業内容：（１）自社ブランド製品販売化粧品、薬用歯磨き、サプリメント、3Dマイクロソームパッチ等、自社ブランド製品を各事業所へ卸販売しています。（２）OEM(S・P・B)製品供給OEM製品の供給の特徴は、自社ブランド製品を参考にし、コンセプトの提案から製品開発、製造、納品までの一貫したトータルサポートシステムです。,岐阜県岐阜市金宝町3-5VIビル4F,2000,,,4,16百万円,http://www.bigendo.co.jp/,
2024-08-01,株式会社すてらめいとジャパン,理容・美容・エステ,2,■事業内容：・エステティックサロンの経営（すてらめいと・ジャパン）…すてらめいと・ジャパンは、創立より40年以上地元に根を張り、質の高い技術と安心料金で多くの女性をサポートし、顧客からの評価の高いエステサロンへと成長してきました。・化粧品の卸、販売…美意識の高い女性顧客に対し、より美しくなってほしいと考え、エステと共に化粧品の販売を行っています。■店舗：京都大阪に7店舗展開しています。・大阪…なんば店、梅田店、天王寺店、京橋店、高槻店・京都…京都駅前店、四条河原町店,大阪府大阪市北区太融寺町4-20すてらめいとビル,1980,,,100,10百万円,http://www.stella-mj.co.jp/,
2024-06-01,株式会社ワシ屋グループ,理容・美容・エステ,1,■事業内容： ・クリーニング工場／クリーニング取次所コインランドリー業／レンタルユニフォーム■企業理念・基本方針社訓・感謝・謙虚・躍進スローガン・営業をささえるのは高品質・品質を高めるのは営業力基本方針・品質向上・生産性のアップ・接客マナー理念・私達ワシ屋グループ従業員一同は何事にも感謝の気持ちを忘れず謙虚な心で日々洗道に徹し品質の向上を目指すことにより地域社会に貢献してまいります。,愛媛県今治市広紹寺町2-5-12,1953,,,180,10百万円,https://washiya.co.jp/,
2024-08-01,株式会社ＯＭＧホールディングス,理容・美容・エステ,1,■事業内容：OMGパートナーズの事業の経営、経営指導、コンサルティング■当社の特徴：OMGホールディングスは、整骨院事業・リラクゼーション事業「株式会社GENKIDO」「株式会社EXPAND」「株式会社Revival・Produce」介護事業「株式会社介護NEXT」 美容事業の「株式会社Beauty Professional」、ホテルスパ事業の「パシフィック・ホスピタリティー・グループ」、保険請求代行の「日本保険請求財団」、事故なびを運営する「Opus.net」より形成されております。,東京都台東区浅草橋5-5-5,2009,,,50,10百万円,"Failed to retrieve page, status code: 410",
2024-08-01,ＮＳＢコンサルティング株式会社,理容・美容・エステ,1,■事業内容：・美容室・トータルビューティーサロンの経営（新潟市内6店舗）・美容学校教育コンサル・美容関連商材の販売・（株）ビューティープロデュース（100％子会社）の管理（従業員数18名） ネイルサロンの経営（新潟市内3店舗、上越市1店舗） ネイル関連ビジネスコンサルティング,新潟県新潟市中央区花園1-1-10オルザス新潟 1F,2005,,,37,750百万円,"Failed to retrieve page, status code: 410",
2024-06-01,株式会社ミツバファクトリー,理容・美容・エステ,1,■会社の特徴：全国に８万店あると言われているリラクゼーションサロン。コンビニが約３万店となるので、倍以上となります。そのうち、60％以上が１人で個人営業しているお店となっております。手もみ屋本舗は、業界の中では準大手になります。手もみ屋本舗のように全国展開をし、研修施設や研修制度といった設備やノウハウが確立されているところは、全国にも少なく、当社の特徴となっております。,岡山県岡山市中区西川原139-1,2002,,,56,55百万円,https://tmtm.jp/tm/site/company,
2024-07-01,株式会社ブラスト,理容・美容・エステ,1,美容整体サロンの経営,■本社／東京都台東区東上野3-18-7 SK上野ビル9F■大阪オフィス／〒541-0054 大阪市中央区南本町4-3-16 ブランズタワー御堂筋本町1207,2007,,29.0,210,300万円,https://www.blast32.co.jp/,代表取締役 橘 ゆたか
2024-08-01,株式会社アス・ウイッツ,理容・美容・エステ,5,■事業内容： フィットネス施設での痩身エステの業務受託、化粧品や美容関連商品、健康商品の企画製造販売（小売・卸売）ケアを可能にします。,東京都品川区南大井6-28-10新木ビル6F,1993,,38.0,43,10百万円,"Failed to retrieve page, status code: 410",
2024-07-01,株式会社アエロプエルト,理容・美容・エステ,2,■企業概要： エステサロン・脱毛サロン経営の他、化粧品やサプリメントなどの自社販売・卸売りを手掛けています。■事業詳細：・脱毛サロン・エステサロンの経営・化粧品・健康食品・美容商材の販売・卸売り・自社商品の企画,福岡県福岡市中央区今泉1丁目23ー8,2011,,27.0,17,8百万円,http://aero-g.co.jp/,
2024-08-01,ベレガ株式会社,理容・美容・エステ,1,＜美容機器の卸販売がメイン／海外展開も行っています＞■美容卸・販売■エステティックサロン運営■エステティックの国際ライセンス取得のスクール運営,＜新オフィス住所＞〒530-0057大阪府大阪市北区曽根崎2-5-10 梅田パシフィックビルディング9F,1999,,,43,1000万円,https://www.belega.co.jp/,代表取締役 奥村 優之
2024-06-01,株式会社オリーブスパ (OLIVE SPA),理容・美容・エステ,1,■リラクゼーションサロン「OLIVE SPA（オリーブスパ）」の運営■化粧品の製造,東京都渋谷区恵比寿4-20-3恵比寿ガーデンプレイスタワー34階／東日本事業本部（本社）＜事業所＞＊南麻布支社／東京都港区＊西日本事業支社／大阪府大阪市,2004,,27.0,300,"50,000,000円",https://olivespa.co.jp/,代表取締役社長 横尾 まどか
2024-07-01,株式会社ブラン,理容・美容・エステ,1,◆美容クリニックの運営サポート◆広告代理業務,東京都中央区銀座4-2-2 第一弥生ビル 地下1階電話番号：03-4446-2457,2010,,,350,500万円,https://bccl.jp/,代表取締役 吉越 匡子
2024-06-01,株式会社エーフォーワン,理容・美容・エステ,2,徳島市内を中心に、美容皮膚科クリニック（自由診療）1院、エステサロン4店舗、化粧品販売1店舗を展開する「ascグループ」の中核企業です。医学博士で内科医出身の代表の赤池氏が自身の肌荒れの実体験をもとに創業し、医療と美容を融合した独自の「メディカルエステ」を提唱、最新鋭のフラクショナルレーザーでは西日本ではトップの導入件数を誇る一方、現在も無借金経営を続けるなど、堅実な事業運営が特徴の企業です。,徳島県徳島市元町1-7,2002,,,36,30百万円,http://www.akaikeskincare.com/,
2024-07-01,株式会社バランス,理容・美容・エステ,1,【事業内容】美容院の運営,埼玉県さいたま市大宮区仲町1-110,2003,,28.0,17,3百万円,https://www.balance-hair.info,
2024-08-01,株式会社ＩＬ,理容・美容・エステ,8,■事業内容： １．サロン向けの講習の企画・運営、関連商材の企画・製造・販売２．化粧品OEM、フレグランス輸入販売・小売３．美容サロン（アイラッシュサロン）の運営４．貿易事業、商品企画、販売■取り扱いブランド：【Parisienne Lash Lift】https://parisienne-lashlift.jp/ 「PARISBROW」https://parisbrow.jp/「parisienne fragrance」https://parisienne-fragrance.jp/,東京都渋谷区広尾1-8-7,2013,,36.0,26,3百万円,https://parisienne-group.jp/about-us/,
2024-08-01,株式会社リップス,理容・美容・エステ,5,■事業概要：・メンズコスメ商品の企画及び販売事業…化粧品及びヘアケア商品の研究開発、販売、広告宣伝、情報提供、アプリ開発・メンズヘアサロン『LIPPS』のフランチャイズ本部事業…フランチャイズ経営、教育・研修等事業・経営に関するアウトソーシング事業等,東京都渋谷区神宮前3-1-30Daiwa青山ビル2F,2008,,32.0,40,100百万円,https://lipps.co.jp/,
2024-08-01,株式会社ケイズグループ,理容・美容・エステ,10,■事業内容： 同社は、直営整骨院事業を中核としながら、整骨院の運営ノウハウを活用した経営者・治療家向けのビジネスサービスを展開することで業界活性化の一翼となり、地域医療の充実と発展に寄与することを目指しています。鍼灸整骨院・整体院事業を中心として、「療養費請求代行事業」「人材紹介・コンサルテイング事業」を展開することで、患者様だけでなく、整骨院を経営する経営者や治療家への支援を行っている企業です。,千葉県市川市南八幡3-6-18ミーナアサヒビル3F,2010,,,1352,86百万円,http://keizgroup.jp/,
2024-06-01,株式会社インティ,理容・美容・エステ,1,■事業内容詳細： ・美容室、脱毛サロンの運営,東京都渋谷区神南1-9-11,2014,,32.0,26,"20,000百万円",https://www.inti-tokyo.com/,
2024-08-01,株式会社湘美会,理容・美容・エステ,9,【SBCメディカルグループ （湘南美容クリニック）】～美容クリニックから先進医療、総合医療グループとして～2000年に「湘南美容外科」からスタートした私たちは、美容皮膚科、審美歯科、婦人科(不妊治療)、薄毛治療、整形外科、眼科など10以上の診療科目を全国に204院（2024年1月時点）以上を展開するまでになりました。海外にもクリニックを増やし、国内のみならず世界一お客様に愛される医療グループを目指しています。,神奈川県横浜市戸塚区上倉田町908,2000,,,1450,"1,000百万円",https://www.s-b-c.net/,
2024-07-01,株式会社メディビューティー,理容・美容・エステ,4,脱毛機器および化粧品の企画開発を手がける総合美容メーカーをグループに持ち、そのノウハウを活かした直営サロンの運営を行っています。■エステティックサロンの運営・経営指導■化粧品・健康食品・美容機器の製造販売及び輸入,東京都新宿区新宿3-1-13 京王新宿追分ビル9F,2014,,29.0,780,"36,990,000円",https://job.medibeauty.co.jp/,代表取締役 本間 智之
2024-08-01,株式会社ＴＲＹＡＮＧＬＥ＆ＣＯ．,理容・美容・エステ,2,■事業内容： 美容メーカーとして、特許取得技術1つと特許申請中技術2つを駆使した商品開発＆卸売を行っております。 主なクライアントは、エステサロン様。 単に卸すだけではなく、店舗の業績の最大化に貢献するサポートが強み。,大阪府大阪市中央区南久宝寺町2-3-6Yonezawa船場ビル5F,2013,,29.0,21,10百万円,https://tryangle-and-co.com/,
2024-08-01,株式会社アイラッシュガレージ（ビューティガレージグループ）,理容・美容・エステ,3,まつ毛エクステンション・美容商材の卸販売まつ毛エクステンション・美容商材の企画・開発・製造まつ毛エクステンション・美容商材の輸出及び輸入まつ毛エクステンション・美容商材の販売用店舗の経営まつ毛エクステンション・美容スクール及び講習会の運営まつ毛エクステンション・美容サロンの運営及びフランチャイズ本部事業まつ毛エクステンション・美容サロン向けの開業・経営支援サービスまつ毛エクステンション・美容サロン向けの店舗デザイン・設計及びプロデュースアイリスト・ビューティシャンの求人・求職サービスアイリスト・ビューティシャンの人材育成・教育サービス,東京都渋谷区渋谷1-12-1カレイド渋谷宮益坂ビル5F,2014,,34.0,17,248百万円,https://www.eyelashgarage.jp/,
2024-08-01,医療法人社団風林会,理容・美容・エステ,4,■事業内容： ・女性専用脱毛クリニック「リゼクリニック」と男性専用脱毛クリニック「メンズリゼ」を運営■当社事業について：・リゼクリニック…医療レーザー脱毛クリニックとして、札幌、東京、大阪、愛知、福岡など全国26院のクリニックを展開しています。（http://www.rizeclinic.com/）・メンズリゼ…医療レーザー脱毛クリニックとして、札幌、東京、大阪、愛知、福岡など全国26院クリニックを展開しています。（https://www.mens-rize.com/）,東京都渋谷区宇田川町13-8ちとせ会館1F,2010,,,881,,"Failed to retrieve page, status code: 410",
2024-08-01,Dr.AGAクリニック／医療法人社団日昇会,理容・美容・エステ,1,医療クリニックの運営（AGA・薄毛治療外来）,大阪府大阪市北区梅田2-4-34産光西梅田ビル 8Ｆ,1989,,,,,http://drskinclinic.jp/,総院長 岩槻 快樹
2024-05-01,株式会社アースシステム,理容・美容・エステ,1,■事業内容：・中古住宅再生流通事業リノベーション完成住宅『アースのリノベ』シリーズ販売しております。・ヨガスクール事業：ヨガ・ピラティススタジオ『ヨガヴィオラトリコロール』を運営しています。また、ヨガ・ピラティスインストラクターを目指す方への養成スクールも運営しています。またピラティス・リフォーマースタジオを令和5年12月にオープンします。,大阪府大阪市中央区本町3-4-10本町野村ビル4F,2002,,,25,10百万円,https://earthsystem.jp/,
2024-08-01,株式会社N-LaBo,理容・美容・エステ,7,■事業内容： 鍼灸治療と美容を統合したアプローチによって人々の美と健康をサポートする事業を行っています。・美容鍼灸サロン「銀座ハリッチ」の運営（東京8店舗・大阪1店舗・福岡1店舗）・よもぎ蒸し・温熱療法と鍼治療「ハリッチ明心」・不眠・脳疲労特化型鍼灸院「NEL」・トレーニングジム「BCT」・化粧品開発販売,東京都中央区銀座6-16-3東京真珠ビル4F,2014,,28.0,120,8百万円,https://www.haricchi.jp,
2024-07-01,株式会社Ｂｌａｎｃ,理容・美容・エステ,1,■アイラッシュサロン事業およびフランチャイズ本部事業■アイラッシュスクール事業■ネイルサロン事業■商品開発事業■海外事業■人財コンサルティング／店舗コンサルティング,大阪府大阪市淀川区西中島5-12-8 エス・ティ・エスビル9F,2009,,,343,1000万円,https://www.blanc-lash.com/,代表取締役 山下 晴之
2024-07-01,株式会社ポップアップクリエイト,理容・美容・エステ,1,■事業内容： 美容業…カット、カラー、パーマ、ヘアセット、ヘッドスパ、着付け、ネイル、まつげエクステ■当社について：私たちが住む山形は、人情が厚く、奥ゆかしく、忍耐力の強い人々がいっぱい、そして自然豊かな環境と美味しい食が満載です。この山形の素晴らしさを、子どもはもちろん若い人たち、いま活躍の中心にいる方々、さらに悠遊とした時間を楽しめる方々まで、もっと実感し、楽しんでいただけるように支援して参りたいと思っています。,山形県山形市錦町5-20,2016,,27.0,2,9百万円,http://beachwood87.com/,
2024-08-01,株式会社Ｌｉｔｔｌｅ　ｎｙｍｐｈ,理容・美容・エステ,無,■美容室・エステ事業・アイラッシュ事業■美容商材・製造・OEM事業■マイクロバブルジャパン販売代理店■アルピジョン販売代理店 2024年5月doda掲載求人より引用,埼玉県さいたま市大宮区仲町3-82,2009,,,,3 百万円,"Failed to retrieve page, status code: 410",代表取締役 金子 久之
2024-08-01,株式会社Ｆａｓｔ　Ｂｅａｕｔｙ,理容・美容・エステ,1,■事業内容： ・ヘアカラー専門店の運営・ヘアケア商品の製造・販売,東京都港区南青山4-14-7,2014,,36.0,575,50百万円,"Failed to retrieve page, status code: 410",
2024-08-01,株式会社クリア,理容・美容・エステ,4,■メンズ美容サロン「MEN‘S Clear」の運営■女性専門脱毛サロン「STLASSH」の運営■「パーソナルジム」の運営■美容品の企画・開発・通販,東京都渋谷区恵比寿4丁目20番3号 恵比寿ガーデンプレイスタワー34階,2013,,26.0,1300,2603万円,https://mensclear.com/,代表取締役 勝沼 潤
2024-07-01,株式会社ＩｍｐＲｅｘＨＤ,理容・美容・エステ,2,■事業内容： 飲食店・ヘアサロン・エステサロンの経営・不動産の管理など■特徴： 2020年1月度誕生！高槻初、5階建ての美が詰まったビューティービル「CULAVIS」がOPEN新しい美容の形を通してお客様に暮らしと美容がつながるキッカケを届けたいと考えています1Fはおしゃれなステーキレストラン・2Fはヘアエステサロン・3Fはエステサロン・4Fはカルチャースペースとなっており、それぞれが異なる上質空間を演出しております。暮らしと美容がつながるそんな場所がココから始まります。,大阪府高槻市高槻町15-3URGE高槻ビル,2012,,35.0,20,5百万円,https://culavis.net/,
2024-06-01,ｕｎｌｉｍｉｔｅｄ　ｎｉｎｅ株式会社,理容・美容・エステ,1,■事業内容：サロン事業、化粧品・美容機器販売事業、商品開発事業、スクール事業、資格発行事業、デザイン事業、機械開発事業、動画企画事業、経営コンサルタント■当社について：美と健康を通じて多くのお客様に感動を与えたい。そんな思いでサロン運営や美容機器開発を行っております。,東京都目黒区青葉台1-27-1010F,2016,,32.0,30,,https://www.unlimited9.co.jp/about/,
2024-07-01,株式会社Ｌｉｍｅ,理容・美容・エステ,12,■事業内容： ・エステサロン LIME：オールジャンルエステサロン（国内外25店舗）・LIMEパーソナルジム：ゆるトレパーソナルジム（全国20店舗展開）・眉毛まつ毛パーマ専門店 most eyes：最高品質保証（都内11店舗展開）・REPUPGYM：日本初の太る専門パーソナルジム（全国10店舗展開）,東京都目黒区上目黒1-3-2代官山宝ビルII,2017,,22.0,10,10百万円,https://lime-fit.com/,
2024-08-01,株式会社エナジーセラピージャパン,理容・美容・エステ,2,■事業内容：『ハンドセラピス美容学院』の運営2017年の設立以来、セラピストの育成から店舗のコンサルティングまで、トータルにサポートしてきた当社。設立からわずか6年で400店舗以上に「ハンドセラピス（R）」を導入、「ビューティーワールド ジャパン」には現在5回出展し10月にも出店を予定しています。■ビジョン：既に韓国に事業を展開しており、今後も海外展開をしていく予定の当社です。,愛知県名古屋市中区丸の内2-9-24 Face日銀前 8F,2017,,,7,200万円,https://et-japan.co.jp/,代表取締役 福留 清美
2024-08-01,株式会社Ｄ‐ｃｌｉｍｂ【メンズ眉毛サロン Men's REVERSE　川崎店】,理容・美容・エステ,1,■事業内容： メンズ眉毛サロン『Men's REVERSE』の他に『黒鶏ファニー』（飲食店）を経営しています。,東京都品川区東五反田1-4-10NEXUS五反田,2022,,27.0,15,2百万円,https://beauty.hotpepper.jp/kr/slnH000615095/,
2024-07-01,株式会社りらく【りらくる】,理容・美容・エステ,1,◆リラクゼーションスペース「りらくる」の運営,＜本社＞大阪府大阪市港区弁天1-2-1 大阪ベイタワーオフィス18F,2010,,,141,"5,000,000円",https://relxle.com/company,代表取締役社長 青木 正太
2024-08-01,株式会社ボディアーキ・ジャパン,理容・美容・エステ,16,■事業内容：・女性向けセルフエステスタジオ「BODY ARCHI(ボディアーキ）」の運営、及びフランチャイズ事業・DNA解析と栄養バランス分析に基づく美容・健康コンサルティング業務,東京都渋谷区桜丘町20-4,2017,,27.0,160,20百万円,https://bodyarchi.com/,
2024-07-01,株式会社ボディワークセラピストエージェンシー,理容・美容・エステ,1,■リラクゼーションスペース業務提携 ■リラクゼーション・エステ・ストレッチ等施術■人材教育 ■アウトソーシング事業 ■リラクゼーションセラピスト派遣（派）13-309655,東京都豊島区西池袋5-5-21 ザ・タワーグランディア2809,2017,,25.0,250,3000万円,https://bt-agency.co.jp/,代表取締役 山本 耕
2024-07-01,株式会社Ｄｒ.Ｖｉｓｅａ,理容・美容・エステ,1,■事業内容・エステサロン運営…現在2つの店舗を運営しております。・クリニック運営…美容皮膚科のクリニックを現在1院運営しております。・業務用エステ機器の開発販売…脱毛器・フェイシャルケアなどの最新エステ機器の開発をしております。アフターフォローのサポート体制を強みとしており、全国3000店舗の導入実績があります。・化粧品の開発販売…業務用と家庭用のそれぞれで化粧品を展開しております。自社開発のマシンの効果を最大限引き出す相互性を求めて、医療大学の教授や医師、薬剤師と共同開発しております。,東京都渋谷区恵比寿西2-11-9,2017,,30.0,40,1百万円,https://visea.jp/,
2024-07-01,株式会社ＱＯＬＡ,理容・美容・エステ,5,■事業内容： 医療脱毛専門クリニック「レナトゥスクリニック」の運営■レナトゥスクリニックについて：東京都港区 芝５丁目27-13 YA三田ビル4Fに位置するクリニックです。<診療科目>最新医療脱毛美容注射切らないリフトアップ婦人科(低用量ピル・アフターピル・薄毛・性病検査)AGA・ED美容コスメ・サプリ,富山県高岡市鐘紡町6-8,,,26.0,28,,https://renatusclinic.jp/,
